Name_of_settler;;Native_soil;First_mention _ of_person_in_ Denmark;;Type_of_Religion;;Marital_Status_at_time_ of_immergration;;Number_of_chrilden_at_the_time_of_immigration;;After_settling_in_ Denmark;;gps_Longitude;;gps_Latitude ;
Kraft, Johann Hendrich ;;Rodau, Lichtenberg Hessen;1760;;Lutheran;;Unmarried ;;0;;AWOL;;49,770766;;8,803810;
Krath, Christian;;Sulzfeld Württemberg;1760;;Lutheran;;Married ;;3;;Remained in Denmark ;;49,104879;;8,855674;
Kratz, Johann Conrad;;Not mentioned ;1760;;Lutheran;;Not mentioned ;;6;;Depated from the country;;Na;;Na;
Kraus, Johann Hieronymus;;Karlsruhe Baden-Durlach;1760;;Lutheran;;Married ;;0;;Depated from the country;;49,004343;;8,411935;
Kraut, Christopher;;Grosssachsen Kurpfalz;1760;;Lutheran;;Not mentioned ;;0;;Depated from the country;;49,512916;;8,662380;
Kriegbaum, Johann Georg;;Bensheim Erbach Hessen;1760;;Lutheran;;Married ;;2;;Remained in Denmark ;;49,657067;;8,999074;
Krämer, Andreas ;;Bodigheim ;1760;;Lutheran;;Married ;;3;;Died in Denmark ;;48,160452;;10,470102;
Krüger, Johann Friderich;;Schwaben;1760;;Lutheran;;Married ;;0;;Remained in Denmark ;;48,160452;;10,470102;
Kumbler, Adam ;;Kurpfalz;1760;;Catholic ;;Not mentioned ;;1;;Depated from the country;;49,408914;;8,107543;
Kumbler, Christian ;;Erbach Hessen;1760;;Lutheran;;Married ;;4;;Travelpas to Russia ;;49,657067;;8,999074;
Kunsmann, Johann;;Weinheim Kurpfalz ;1760;;Reformed ;;Not mentioned ;;4;;Depated from the country;;49,541936;;8,665821;
Kunsmann, Philip;;Kurpfalz;1760;;Reformed ;;Not mentioned ;;0;;Depated from the country;;49,408914;;8,107543;
Kämpf, Johannes ;;Kurpfalz;1760;;Lutheran;;Married ;;4;;Travelpas to Russia ;;49,408914;;8,107543;
Kärber, Johann Georg;;Erbach Hessen;1760;;Lutheran;;Married ;;0;;Depated from the country;;49,657067;;8,999074;
Küch, Hendrich;;Not mentioned ;1760;;Lutheran;;Not mentioned ;;0;;Remained in Denmark ;;Na;;Na;
Laier, Johan Georg Adam;;Altneudorf Kurpfalz;1760;;Reformed ;;Married ;;0;;Remained in Denmark ;;49,465564;;8,802861;
Lang, Johann Philip;;Erbach Hessen;1760;;Lutheran;;Not mentioned ;;4;;Depated from the country;;49,657067;;8,999074;
Laut, Johann Balthazar ;;Erbach Hessen;1760;;Lutheran;;Married ;;3;;Remained in Denmark ;;49,657067;;8,999074;
Leyer, Georg ;;Kurpfalz;1760;;Lutheran;;Not mentioned ;;4;;Travelpas to Russia ;;49,408914;;8,107543;
Lutz, Johann Adam;;Kurpfalz;1761;;Lutheran;;Married ;;0;;Depated from the country;;49,408914;;8,107543;
Lutz, Johann Georg;;Käfertal Kurpfalz;1760;;Lutheran;;Married ;;1;;Depated from the country;;49,512068;;8,516118;
Lutz, Johann Michael;;Ansbach;1760;;Lutheran;;Married ;;5;;Travelpas to Russia ;;49,297576;;10,569725;
Marchdaler, Johann Jacob;;Erbach Hessen;1760;;Lutheran;;Not mentioned ;;1;;AWOL;;49,657067;;8,999074;
Maequard, Peter;;Erbach Hessen;1760;;Lutheran;;Married ;;3;;Remained in Denmark ;;49,657067;;8,999074;
Maul, Andreas;;Hessen-Darmstadt;1760;;Lutheran;;Not mentioned ;;5;;Depated from the country;;49,865108;;8,653898;
Maul, Johann Georg;;Darmstadt;1760;;Lutheran;;Married ;;0;;Depated from the country;;49,865108;;8,653898;
Maul, Johann Philip;;Hessen-Darmstadt;1760;;Lutheran;;Married ;;4;;Remained in Denmark ;;49,865108;;8,653898;
Maul, Philip Ludvig;;Darmstadt;1761;;Lutheran;;Married ;;0;;Depated from the country;;49,865108;;8,653898;
May, Marcus;;Schriesheim Kurpfalz;1760;;Reformed ;;Married ;;7;;Remained in Denmark ;;49,476097;;8,660093;
May, Sebatian ;;Schriesheim Kurpfalz;1760;;Reformed ;;Married ;;0;;Remained in Denmark ;;49,476097;;8,660093;
Meyer, Johann Georg;;Staffort Durlach;1760;;Lutheran;;Married ;;3;;Travelpas to Russia ;;49,091374;;8,510941;
Meyer, Johann Georg;;Rodenstein Kurpfalz;1760;;Lutheran;;Married ;;1;;Depated from the country;;Na;;Na;
Meyer, Johann Leonhard;;Kurpfalz;1760;;Lutheran;;Married ;;0;;Depated from the country;;49,408914;;8,107543;
Meyer, Johann Michael;;Kurpfalz;1760;;Reformed ;;Married ;;3;;Remained in Denmark ;;49,408914;;8,107543;
Meyer, Martin;;Not mentioned ;1760;;Not mentioned ;;Not mentioned ;;2;;Depated from the country;;Na;;Na;
Moratz, Johann Philip;;Schriesheim Kurpfalz;1760;;Reformed ;;Married ;;0;;Remained in Denmark ;;49,476097;;8,660093;
Müller, Heinrich;;Isenberg Wüttemberg;1756;;Reformed ;;Married ;;3;;Remained in Denmark ;;Na;;Na;
Müller, Jacob;;Odenwald Kurpfalz ;1760;;Lutheran;;Married ;;1;;Travelpas to Russia ;;49,590724;;9,007928;
Müller, Johann Adam ;;Hessen-Darmstadt;1760;;Lutheran;;Not mentioned ;;4;;Depated from the country;;49,865108;;8,653898;
Müller, Johann Georg;;Not mentioned ;1760;;Reformed ;;Married ;;3;;Depated from the country;;Na;;Na;
Münster, Conrad;;Hessen-Darmstadt;1760;;Lutheran;;Married ;;3;;Travelpas to Russia ;;49,865108;;8,653898;
Mägen, Traugott Gottfried ;;Reutlingen;1761;;Lutheran;;Not mentioned ;;4;;Depated from the country;;48,506022;;9,203937;
Märcher, Johann Michael;;Bodigheim Schwaben;1760;;Reformed ;;Married ;;3;;Remained in Denmark ;;48,160452;;10,470102;
Möll, Johannes;;Dossenheim Kurpflaz ;1759;;Reformed ;;Married ;;1;;Depated from the country;;49,447665;;8,673478;
